slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,3,feel_iq_passing + upside_tools + risk_uncertainty,14,0.7470752947104222,0.42281746031746015,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.659567515492746,-0.2699562916954221,0.10489993098688749,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,feel_iq_passing + production_stats + risk_uncertainty,17,0.5753785340192273,0.2766269841269841,0.11764705882352941,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.48787075480155107,-0.22373780430046417,0.08809320829781186,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Ja Morant
xRAPM historical mature,positive,3,shooting + defense + risk_uncertainty,17,0.561806065265644,0.2766269841269841,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.47058823529411764,0.47429828604796775,-0.16491427488869945,0.14691673770957658,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,upside_tools + risk_uncertainty,16,0.5401321803605604,0.13621031746031745,0.125,0.5,0.5,0.375,0.45262440114288416,-0.21638486312399358,0.05132850241545894,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,athleticism_tools + upside_tools + risk_uncertainty,16,0.5401321803605604,0.13621031746031745,0.125,0.5,0.5,0.375,0.45262440114288416,-0.21638486312399358,0.05132850241545894,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,3,shooting + upside_tools + risk_uncertainty,15,0.5382071299507353,-0.0042063492063492,0.13333333333333333,0.5333333333333333,0.4666666666666667,0.4,0.450699350733059,-0.20805152979066024,0.07632850241545897,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical top30,positive,3,feel_iq_passing + upside_tools + risk_uncertainty,11,0.5182118580673675,0.2766269841269841,0.0,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.4377812302718819,-0.3208955223880597,0.03279059249208505,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical top30,positive,3,upside_tools + defense + risk_uncertainty,11,0.5182118580673675,0.2766269841269841,0.0,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.4377812302718819,-0.3208955223880597,0.03279059249208505,Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr. | Ante Zizic
xRAPM historical mature,positive,3,defense + motor_competitiveness + risk_uncertainty,17,0.49959395820059577,0.2766269841269841,0.17647058823529413,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.41208617898291944,-0.16491427488869945,0.08809320829781186,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,3,shooting + motor_competitiveness + risk_uncertainty,17,0.4947799214747943,-0.0042063492063492,0.17647058823529413,0.5294117647058824,0.47058823529411764,0.4117647058823529,0.40727214225711805,-0.16491427488869945,0.08809320829781186,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,3,upside_tools + motor_competitiveness + risk_uncertainty,14,0.4642578343929619,0.13621031746031745,0.14285714285714285,0.5,0.5,0.35714285714285715,0.3767500551752856,-0.19852772026685073,0.033471359558316094,Bruce Brown | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical mature,positive,3,defense + size_frame + risk_uncertainty,18,0.45102451137522465,0.42281746031746015,0.2222222222222222,0.4444444444444444,0.5555555555555556,0.4444444444444444,0.3635167321575483,-0.11916264090177137,0.12077294685990336,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical top30,positive,3,feel_iq_passing + size_frame + risk_uncertainty,12,0.4506767870026706,0.42281746031746015,0.08333333333333333,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.37024615920718507,-0.23756218905472637,0.08582089552238809,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
xRAPM historical mature,positive,3,motor_competitiveness + size_frame + risk_uncertainty,17,0.4329529684713707,0.2766269841269841,0.23529411764705882,0.47058823529411764,0.5294117647058824,0.4117647058823529,0.3454451892536944,-0.10609074547693476,0.08809320829781186,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,3,shooting + size_frame + risk_uncertainty,18,0.4298872343636307,0.12382936507936515,0.2222222222222222,0.5,0.5,0.4444444444444444,0.34237945514595436,-0.11916264090177137,0.12077294685990336,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,defense + risk_uncertainty,19,0.427064992397247,0.2766269841269841,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.33955721317957066,-0.1308585473345199,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,athleticism_tools + defense + risk_uncertainty,19,0.427064992397247,0.2766269841269841,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.33955721317957066,-0.1308585473345199,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,defense + production_stats + risk_uncertainty,19,0.427064992397247,0.2766269841269841,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.33955721317957066,-0.1308585473345199,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,3,shooting + production_stats + risk_uncertainty,19,0.42275769637942473,-0.0042063492063492,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.42105263157894735,0.33524991716174846,-0.1308585473345199,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical top30,positive,3,feel_iq_passing + defense + risk_uncertainty,13,0.4156857765250538,0.2766269841269841,0.07692307692307693,0.46153846153846156,0.5384615384615384,0.38461538461538464,0.33525514872956824,-0.24397244546498276,0.05376961347110604,Klay Thompson | Montrezl Harrell | Ja Morant | Cody Zeller | Otto Porter Jr.
