slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical top15,risk,3,feel_iq_passing + creation_handle + motor_competitiveness,34,-0.21913678792711896,-0.03396825396825385,0.3235294117647059,0.5294117647058824,0.47058823529411764,0.29411764705882354,-0.333888895734121,0.026232114467408585,-0.05723370429252783,Kevin Knox II | Jonny Flynn | Patrick Williams | Hasheem Thabeet | Killian Hayes
xRAPM historical mature,risk,2,creation_handle + defense,181,-0.21748957273259617,-0.2336021505376344,0.39226519337016574,0.569060773480663,0.430939226519337,0.23204419889502761,-0.30499735195027244,0.05088033024617217,-0.09162729868951344,Kevin Knox II | Jahlil Okafor | Jonny Flynn | Tyler Lydon | Justin Harper
xRAPM historical mature,risk,3,shooting + upside_tools + motor_competitiveness,87,-0.2172765571041289,-0.2336021505376344,0.367816091954023,0.5747126436781609,0.42528735632183906,0.27586206896551724,-0.30478433632180524,0.026431228830029407,-0.04780942861902382,James Wiseman | Kevin Knox II | Fab Melo | Patrick Williams | Justin Patton
xRAPM historical top30,risk,3,defense + size_frame + injury_medical,19,-0.21595285495453198,-0.0042063492063492,0.3684210526315789,0.5263157894736842,0.47368421052631576,0.2631578947368421,-0.2963834827500175,0.04752553024351924,-0.06768787640743651,James Wiseman | Anthony Bennett | Shabazz Muhammad | Alex Len | Arnett Moultrie
xRAPM historical mature,risk,2,creation_handle + production_stats,101,-0.21491392482712587,-0.1995121951219509,0.4158415841584158,0.5643564356435643,0.43564356435643564,0.2871287128712871,-0.3024217040448022,0.07445672103442225,-0.03654278471325395,Kevin Knox II | Jahlil Okafor | Josh Christopher | Patrick Williams | Tyler Lydon
xRAPM historical top30,risk,3,creation_handle + athleticism_tools + production_stats,68,-0.21309818541685663,-0.3014426054974836,0.39705882352941174,0.5735294117647058,0.4264705882352941,0.29411764705882354,-0.29352881321234214,0.07616330114135206,-0.03672812408545506,Kevin Knox II | Jahlil Okafor | Patrick Williams | Jalen Green | Tony Mitchell
xRAPM historical top30,risk,2,feel_iq_passing + production_stats,109,-0.21278929962328308,-0.25521164021164,0.3761467889908257,0.5871559633027523,0.41284403669724773,0.25688073394495414,-0.2932199274187686,0.055251266602766025,-0.07396503719932446,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Patrick Williams
xRAPM historical mature,risk,3,finishing_touch + upside_tools + defense,56,-0.212410069808417,-0.016587301587301498,0.35714285714285715,0.5178571428571429,0.48214285714285715,0.23214285714285715,-0.2999178490260933,0.015757994018863575,-0.0915286404416839,James Wiseman | Kevin Knox II | Jahlil Okafor | Fab Melo | Justin Patton
xRAPM historical mature,risk,3,finishing_touch + injury_medical + risk_uncertainty,12,-0.21115859350964838,-0.19202120739005996,0.4166666666666667,0.5833333333333334,0.4166666666666667,0.25,-0.29866637272732466,0.07528180354267311,-0.07367149758454106,James Wiseman | Victor Claver | Tibor Pleiss | Harry Giles III | Solomon Alabi
xRAPM historical mature,risk,3,creation_handle + athleticism_tools + production_stats,98,-0.21087835013869508,-0.1903579494128271,0.40816326530612246,0.5612244897959183,0.4387755102040816,0.2857142857142857,-0.2983861293563714,0.06677840218212888,-0.03795721187025536,Kevin Knox II | Jahlil Okafor | Josh Christopher | Patrick Williams | Tyler Lydon
xRAPM historical mature,risk,3,feel_iq_passing + shooting + production_stats,142,-0.21056690610030676,-0.2724941927990707,0.39436619718309857,0.6056338028169014,0.39436619718309857,0.2605633802816901,-0.2980746853179831,0.05298133405910499,-0.06310811730285093,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Fab Melo
xRAPM historical top15,risk,2,defense + production_stats,54,-0.2098438378563097,-0.016587301587301498,0.37037037037037035,0.5185185185185185,0.48148148148148145,0.2962962962962963,-0.32459594566331174,0.07307307307307304,-0.05505505505505509,James Wiseman | Kevin Knox II | Jahlil Okafor | Jalen Green | Thomas Robinson
xRAPM historical top15,risk,3,athleticism_tools + defense + production_stats,54,-0.2098438378563097,-0.016587301587301498,0.37037037037037035,0.5185185185185185,0.48148148148148145,0.2962962962962963,-0.32459594566331174,0.07307307307307304,-0.05505505505505509,James Wiseman | Kevin Knox II | Jahlil Okafor | Jalen Green | Thomas Robinson
xRAPM historical top30,risk,3,feel_iq_passing + shooting + motor_competitiveness,132,-0.20956178120933905,-0.30740292712066913,0.38636363636363635,0.5833333333333334,0.4166666666666667,0.2803030303030303,-0.2899924090048246,0.06546811397557667,-0.050542740841248324,James Wiseman | Kevin Knox II | Craig Brackins | Jonny Flynn | Fab Melo
xRAPM historical mature,risk,3,creation_handle + upside_tools + motor_competitiveness,40,-0.20914847480320037,-0.11137416794674836,0.35,0.575,0.425,0.275,-0.2966562540208767,0.008615136876006402,-0.048671497584541035,Kevin Knox II | Patrick Williams | Hasheem Thabeet | Vernon Carey Jr. | James Young
xRAPM historical top15,risk,3,feel_iq_passing + shooting + upside_tools,40,-0.20721623130061845,0.01841269841269835,0.325,0.5,0.5,0.25,-0.32196833910762046,0.027702702702702697,-0.10135135135135137,James Wiseman | Kevin Knox II | Patrick Williams | Hasheem Thabeet | Wesley Johnson
xRAPM historical mature,risk,3,shooting + size_frame + production_stats,92,-0.20693672541991645,-0.19250609756097553,0.3695652173913043,0.5652173913043478,0.43478260869565216,0.29347826086956524,-0.29444450463759275,0.028180354267310748,-0.030193236714975813,James Wiseman | Kevin Knox II | Fab Melo | Justin Patton | Tyler Lydon
xRAPM historical mature,risk,3,creation_handle + athleticism_tools + defense,177,-0.2066337902087491,-0.1995121951219509,0.384180790960452,0.5649717514124294,0.4350282485875706,0.23163841807909605,-0.29414156942642544,0.042795927836458414,-0.09203307950544501,Kevin Knox II | Jahlil Okafor | Jonny Flynn | Tyler Lydon | Justin Harper
xRAPM historical top30,risk,3,upside_tools + size_frame + risk_uncertainty,17,-0.20660543057156436,-0.2978306878306882,0.29411764705882354,0.5882352941176471,0.4117647058823529,0.23529411764705882,-0.28703605836704993,-0.026777875329236145,-0.09555165349721978,James Wiseman | Fab Melo | Tyler Honeycutt | Julius Randle | Shane Larkin
xRAPM historical top30,risk,3,feel_iq_passing + shooting + upside_tools,87,-0.20557939042380835,-0.1171031746031743,0.3563218390804598,0.5632183908045977,0.4367816091954023,0.27586206896551724,-0.2860100182192939,0.035426316692400095,-0.05498370217876136,James Wiseman | Kevin Knox II | Fab Melo | Patrick Williams | Rakeem Christmas
xRAPM historical mature,risk,3,upside_tools + motor_competitiveness + risk_uncertainty,29,-0.20464174341801838,-0.3798360655737707,0.3448275862068966,0.5862068965517241,0.41379310344827586,0.1724137931034483,-0.2921495226356947,0.0034427230829029987,-0.15125770448109277,James Wiseman | Fab Melo | Tyler Honeycutt | Marvin Bagley III | Julius Randle
xRAPM historical top30,risk,2,shooting + creation_handle,147,-0.20334510921229548,-0.2336021505376344,0.36054421768707484,0.54421768707483,0.4557823129251701,0.2653061224489796,-0.283775737007781,0.03964869529901516,-0.06553964869529899,Kevin Knox II | Jahlil Okafor | Josh Jackson | Royce White | Jonny Flynn
xRAPM historical top30,risk,3,shooting + creation_handle + athleticism_tools,139,-0.20296072683228883,-0.2336021505376344,0.3597122302158273,0.5467625899280576,0.45323741007194246,0.2733812949640288,-0.28339135462777437,0.03881670782776764,-0.0574644761802498,Kevin Knox II | Jahlil Okafor | Josh Jackson | Royce White | Jonny Flynn
xRAPM historical top30,risk,3,shooting + creation_handle + motor_competitiveness,81,-0.20293189057990388,-0.1171031746031743,0.37037037037037035,0.5432098765432098,0.4567901234567901,0.2839506172839506,-0.2833625183753894,0.049474847982310666,-0.046895153860328,Kevin Knox II | Josh Jackson | Jonny Flynn | Patrick Williams | Tony Mitchell
xRAPM historical mature,risk,3,size_frame + production_stats + injury_medical,17,-0.20143544722274212,-0.2254320987654323,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.29411764705882354,-0.2889432264404184,0.07037984275835935,-0.029553850525717518,James Wiseman | Victor Claver | Shabazz Muhammad | Zhou Qi | Arnett Moultrie
xRAPM historical mature,risk,2,size_frame + production_stats,99,-0.19963692722498946,-0.1995121951219509,0.37373737373737376,0.5656565656565656,0.43434343434343436,0.2828282828282828,-0.28714470644266576,0.03235251061338018,-0.04084321475625824,James Wiseman | Kevin Knox II | Fab Melo | Justin Patton | Tyler Lydon
xRAPM historical mature,risk,3,feel_iq_passing + athleticism_tools + production_stats,151,-0.1990982011166584,-0.2654761904761904,0.3973509933774834,0.6026490066225165,0.3973509933774834,0.26490066225165565,-0.2866059803343347,0.05596613025348984,-0.05877083533288541,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Fab Melo
xRAPM historical mature,risk,3,feel_iq_passing + production_stats + risk_uncertainty,51,-0.19783989999306986,-0.5152116402116402,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.2549019607843137,-0.28534767921074616,0.07037984275835935,-0.06876953680022735,James Wiseman | Fab Melo | Tyler Lydon | Victor Claver | Bismack Biyombo
xRAPM historical mature,risk,3,athleticism_tools + upside_tools + defense,134,-0.19675737538259508,-0.2447133559705715,0.39552238805970147,0.5895522388059702,0.41044776119402987,0.2462686567164179,-0.28426515460027135,0.05413752493570789,-0.07740284086812316,James Wiseman | Kevin Knox II | Jahlil Okafor | Fab Melo | Elijah Hughes
xRAPM historical top30,risk,3,shooting + production_stats + injury_medical,21,-0.1963224102340469,-0.1748360655737706,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.19047619047619047,-0.27675303802953244,0.01243781094527363,-0.14036958066808813,James Wiseman | Rashad Vaughn | Shabazz Muhammad | Arnett Moultrie | Damian Jones
xRAPM historical top30,risk,3,motor_competitiveness + size_frame + production_stats,52,-0.19527974255274055,-0.25983606557377054,0.40384615384615385,0.5576923076923077,0.4423076923076923,0.28846153846153844,-0.2757103703482261,0.08295063145809417,-0.042384232682740164,James Wiseman | Kevin Knox II | Fab Melo | Justin Patton | Marquese Chriss
xRAPM historical top30,risk,3,creation_handle + defense + size_frame,52,-0.1933375118334643,-0.24378520225294414,0.36538461538461536,0.5576923076923077,0.4423076923076923,0.2692307692307692,-0.27376813962894986,0.04448909299655568,-0.06161500191350938,Kevin Knox II | Jonny Flynn | Justin Harper | Vernon Carey Jr. | Archie Goodwin
xRAPM historical top30,risk,3,shooting + defense + injury_medical,36,-0.1929407925793481,-0.4544068953746373,0.3888888888888889,0.5833333333333334,0.4166666666666667,0.2222222222222222,-0.27337142037483364,0.06799336650082921,-0.10862354892205639,James Wiseman | Brice Johnson | Rashad Vaughn | Shabazz Muhammad | Kevin Seraphin
xRAPM historical mature,risk,3,athleticism_tools + upside_tools + injury_medical,24,-0.19270165587663982,-0.32967413034786086,0.2916666666666667,0.625,0.375,0.16666666666666666,-0.2802094350943161,-0.04971819645732689,-0.1570048309178744,James Wiseman | Kevin Seraphin | Zhou Qi | Arnett Moultrie | Damian Jones
xRAPM historical top30,risk,3,defense + motor_competitiveness + production_stats,77,-0.19147660066825342,-0.1736021505376342,0.38961038961038963,0.5454545454545454,0.45454545454545453,0.2857142857142857,-0.27190722846373894,0.06871486722232995,-0.0451314854299929,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Justin Patton
xRAPM historical mature,risk,3,feel_iq_passing + defense + production_stats,126,-0.191414645544053,-0.2724941927990707,0.4126984126984127,0.5952380952380952,0.40476190476190477,0.2619047619047619,-0.2789224247617293,0.0713135495744191,-0.06176673567977914,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Tyler Lydon
xRAPM historical mature,risk,2,upside_tools + defense,136,-0.1904903823894959,-0.2447133559705715,0.39705882352941174,0.5882352941176471,0.4117647058823529,0.25,-0.27799816160717217,0.055673960405418166,-0.07367149758454106,James Wiseman | Kevin Knox II | Jahlil Okafor | Fab Melo | Elijah Hughes
xRAPM historical top30,risk,3,feel_iq_passing + finishing_touch + motor_competitiveness,58,-0.1894297081852127,-0.0744021597710121,0.3620689655172414,0.5172413793103449,0.4827586206896552,0.3275862068965517,-0.26986033598069825,0.0411734431291817,-0.003259564247726887,James Wiseman | Kevin Knox II | Craig Brackins | Fab Melo | Patrick Williams
xRAPM historical top30,risk,2,creation_handle + production_stats,70,-0.18901989295959865,-0.3014426054974836,0.4,0.5714285714285714,0.42857142857142855,0.3,-0.2694505207550842,0.07910447761194034,-0.03084577114427861,Kevin Knox II | Jahlil Okafor | Patrick Williams | Jalen Green | Tony Mitchell
xRAPM historical mature,risk,2,feel_iq_passing + production_stats,154,-0.1886997136860566,-0.26249419279907094,0.3961038961038961,0.6038961038961039,0.3961038961038961,0.2662337662337662,-0.2762074929037329,0.05471903297990255,-0.057437731350774845,James Wiseman | Kevin Knox II | Craig Brackins | Josh Christopher | Fab Melo
xRAPM historical mature,risk,3,athleticism_tools + size_frame + production_stats,98,-0.1873933020423674,-0.19250609756097553,0.3673469387755102,0.5612244897959183,0.4387755102040816,0.2857142857142857,-0.2749010812600437,0.025962075651516647,-0.03795721187025536,James Wiseman | Kevin Knox II | Fab Melo | Justin Patton | Tyler Lydon
xRAPM historical top15,risk,3,shooting + production_stats + risk_uncertainty,17,-0.18607026411246097,-0.1171031746031743,0.23529411764705882,0.5882352941176471,0.4117647058823529,0.17647058823529413,-0.300822371919463,-0.062003179650238494,-0.17488076311605724,James Wiseman | Shabazz Muhammad | Marvin Bagley III | Julius Randle | De'Andre Hunter
xRAPM historical mature,risk,3,upside_tools + motor_competitiveness + injury_medical,16,-0.18480259545354086,-0.38671910805570253,0.25,0.5625,0.4375,0.1875,-0.27231037467121716,-0.09138486312399358,-0.13617149758454106,James Wiseman | Zhou Qi | Arnett Moultrie | Damian Jones | Perry Jones III
xRAPM historical mature,risk,3,feel_iq_passing + shooting + motor_competitiveness,173,-0.18437177292675036,-0.4121031746031742,0.41040462427745666,0.5953757225433526,0.4046242774566474,0.2832369942196532,-0.27187955214442666,0.06901976115346309,-0.04043450336488785,James Wiseman | Kevin Knox II | Craig Brackins | Jonny Flynn | Fab Melo
xRAPM historical mature,risk,2,production_stats + risk_uncertainty,59,-0.18337737350879163,-0.47521164021164,0.4067796610169492,0.6101694915254238,0.3898305084745763,0.2542372881355932,-0.27088515272646796,0.0653947978929556,-0.06943420944894785,James Wiseman | Fab Melo | Tyler Lydon | Victor Claver | Bismack Biyombo
xRAPM historical mature,risk,3,feel_iq_passing + finishing_touch + upside_tools,53,-0.18295341474975285,-0.101155913978495,0.37735849056603776,0.5471698113207547,0.4528301886792453,0.2641509433962264,-0.2704611939674292,0.03597362744204419,-0.059520554188314645,James Wiseman | Kevin Knox II | Fab Melo | Patrick Williams | Rakeem Christmas
xRAPM historical top15,risk,3,shooting + motor_competitiveness + production_stats,36,-0.18290965217713334,-0.07303571428571405,0.3888888888888889,0.5277777777777778,0.4722222222222222,0.3055555555555556,-0.29766175998413535,0.09159159159159158,-0.04579579579579579,James Wiseman | Kevin Knox II | Patrick Williams | Marquese Chriss | Jabari Parker
xRAPM historical top15,risk,3,feel_iq_passing + shooting + motor_competitiveness,59,-0.18275096833209342,-0.1171031746031743,0.3728813559322034,0.5423728813559322,0.4576271186440678,0.3050847457627119,-0.29750307613909543,0.07558405863490608,-0.04626660558863949,James Wiseman | Kevin Knox II | Jonny Flynn | Patrick Williams | Hasheem Thabeet
xRAPM historical top15,risk,3,feel_iq_passing + defense + motor_competitiveness,50,-0.18149782380613208,-0.10628520225294405,0.38,0.54,0.46,0.28,-0.2962499316131341,0.08270270270270269,-0.07135135135135134,James Wiseman | Kevin Knox II | Jonny Flynn | Derrick Williams | Mario Hezonja
xRAPM historical top30,risk,3,defense + motor_competitiveness + injury_medical,28,-0.18092421443084933,-0.2842191080557025,0.35714285714285715,0.5357142857142857,0.4642857142857143,0.2857142857142857,-0.26135484222633487,0.03624733475479747,-0.0451314854299929,James Wiseman | Anthony Bennett | Brice Johnson | Shabazz Muhammad | Arnett Moultrie
xRAPM historical top30,risk,3,creation_handle + defense + production_stats,55,-0.18030880167909874,-0.1198360655737704,0.4,0.5272727272727272,0.4727272727272727,0.3090909090909091,-0.2607394294745843,0.07910447761194034,-0.021754862053369517,Kevin Knox II | Jahlil Okafor | Jalen Green | Trey Thompkins | Thomas Robinson
xRAPM historical mature,risk,3,shooting + creation_handle + finishing_touch,84,-0.17958504441131862,-0.1104959897761327,0.38095238095238093,0.5238095238095238,0.47619047619047616,0.25,-0.2670928236289949,0.039567517828387355,-0.07367149758454106,Kevin Knox II | Jahlil Okafor | Patrick Williams | Justin Harper | Jalen Green
xRAPM historical top15,risk,2,creation_handle + size_frame,30,-0.17806282348527275,-0.24378520225294414,0.36666666666666664,0.5666666666666667,0.43333333333333335,0.3,-0.29281493129227476,0.06936936936936933,-0.05135135135135138,Kevin Knox II | Jonny Flynn | RJ Barrett | Shabazz Muhammad | Doug McDermott
xRAPM historical top15,risk,3,creation_handle + athleticism_tools + size_frame,30,-0.17806282348527275,-0.24378520225294414,0.36666666666666664,0.5666666666666667,0.43333333333333335,0.3,-0.29281493129227476,0.06936936936936933,-0.05135135135135138,Kevin Knox II | Jonny Flynn | RJ Barrett | Shabazz Muhammad | Doug McDermott
xRAPM historical mature,risk,3,feel_iq_passing + defense + motor_competitiveness,150,-0.17676299902858347,-0.3184244324970131,0.42,0.5866666666666667,0.41333333333333333,0.2733333333333333,-0.2642707782462598,0.07861513687600641,-0.05033816425120774,James Wiseman | Kevin Knox II | Craig Brackins | Jonny Flynn | Fab Melo
