pick,expected_xrapm_first5_avg_pick_ev,expected_xrapm_peak_pick_ev,raw_mean_xrapm_avg_ev_target,raw_median_xrapm_avg_ev_target,raw_mean_xrapm_peak_ev_target,raw_median_xrapm_peak_ev_target,mature_pick_count,mature_count,no_xrapm_signal_count,no_xrapm_signal_rate,expected_prob_bust_or_no_translation,expected_prob_rotation_plus,expected_prob_starter_plus,expected_prob_star,chart_x_pick,chart_y_expected_xrapm_first5_avg,chart_y_expected_xrapm_peak
14,-1.5585185185185184,-0.1555555555555555,-1.6155555555555554,-1.5275,-0.2222222222222223,-0.45,18.0,18,0,0.0,0.5652173913043478,0.4347826086956521,0.1975308641975308,0.0864197530864197,14,-1.5585185185185184,-0.1555555555555555
15,-1.5585185185185184,-0.1555555555555555,-1.4929629629629633,-1.81,-0.0833333333333333,-0.7,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1975308641975308,0.0864197530864197,15,-1.5585185185185184,-0.1555555555555555
16,-1.7977777777777777,-0.488888888888889,-2.198148148148148,-2.1500000000000004,-0.9166666666666669,-0.55,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1975308641975308,0.0864197530864197,16,-1.7977777777777777,-0.488888888888889
17,-1.7977777777777777,-0.488888888888889,-1.5483333333333331,-2.0050000000000003,-0.0611111111111111,-0.3,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1975308641975308,0.0864197530864197,17,-1.7977777777777777,-0.488888888888889
18,-1.7977777777777777,-0.5111111111111111,-2.099722222222222,-2.4675,-0.7333333333333334,-0.7,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1875,0.0588235294117647,18,-1.7977777777777777,-0.5111111111111111
19,-1.7977777777777777,-0.5111111111111111,-1.838425925925926,-1.45,-0.4666666666666667,-0.4499999999999999,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1875,0.0581395348837209,19,-1.7977777777777777,-0.5111111111111111
20,-1.7977777777777777,-0.5111111111111111,-1.8948148148148145,-1.6125,-0.5055555555555554,-0.5,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1875,0.0581395348837209,20,-1.7977777777777777,-0.5111111111111111
21,-1.7977777777777777,-0.5111111111111111,-1.4380555555555556,-1.36,-0.3388888888888889,-0.1,18.0,18,0,0.0,0.6607142857142857,0.3392857142857143,0.1875,0.0581395348837209,21,-1.7977777777777777,-0.5111111111111111
22,-1.7977777777777777,-0.5305555555555556,-1.8332407407407405,-2.1,-0.75,-1.15,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,22,-1.7977777777777777,-0.5305555555555556
23,-1.7977777777777777,-0.5305555555555556,-1.5314814814814812,-1.3166666666666669,-0.3111111111111111,0.15,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,23,-1.7977777777777777,-0.5305555555555556
24,-1.977314814814815,-0.6652777777777777,-2.1893518518518515,-2.0500000000000003,-0.811111111111111,-0.45,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,24,-1.977314814814815,-0.6652777777777777
25,-1.977314814814815,-0.6652777777777777,-2.3153703703703705,-2.6708333333333334,-1.027777777777778,-1.3,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,25,-1.977314814814815,-0.6652777777777777
26,-1.977314814814815,-0.6652777777777777,-1.699537037037037,-1.7125,-0.3722222222222222,0.2,18.0,18,1,0.0555555555555555,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,26,-1.977314814814815,-0.6652777777777777
27,-1.977314814814815,-0.6652777777777777,-1.7049999999999998,-1.7125,-0.45,-0.95,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,27,-1.977314814814815,-0.6652777777777777
28,-2.4637037037037035,-1.2055555555555555,-2.693055555555555,-2.7375,-1.4888888888888892,-1.45,18.0,18,1,0.0555555555555555,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,28,-2.4637037037037035,-1.2055555555555555
29,-2.4637037037037035,-1.2055555555555555,-2.5572222222222223,-3.191666666666667,-1.2722222222222224,-2.05,18.0,18,0,0.0,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,29,-2.4637037037037035,-1.2055555555555555
30,-2.4637037037037035,-1.2055555555555555,-2.140833333333333,-2.725,-0.8555555555555556,-1.05,18.0,18,2,0.1111111111111111,0.7045454545454546,0.2954545454545454,0.1742424242424242,0.0581395348837209,30,-2.4637037037037035,-1.2055555555555555
31,-2.6448456790123456,-1.6876543209876542,-2.9433333333333334,-2.7333333333333334,-2.066666666666667,-2.0,18.0,18,1,0.0555555555555555,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,31,-2.6448456790123456,-1.6876543209876542
32,-2.6448456790123456,-1.6876543209876542,-2.925185185185185,-3.29,-1.9833333333333332,-2.2,18.0,18,0,0.0,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,32,-2.6448456790123456,-1.6876543209876542
33,-2.6448456790123456,-1.6876543209876542,-3.0969444444444445,-3.4400000000000004,-1.9555555555555555,-1.8,18.0,18,0,0.0,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,33,-2.6448456790123456,-1.6876543209876542
34,-2.6448456790123456,-1.6876543209876542,-2.1353703703703704,-2.805,-1.0333333333333334,-1.7999999999999998,18.0,18,2,0.1111111111111111,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,34,-2.6448456790123456,-1.6876543209876542
35,-2.6448456790123456,-1.6876543209876542,-2.625555555555556,-3.791666666666667,-1.9277777777777776,-3.35,18.0,18,3,0.1666666666666666,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,35,-2.6448456790123456,-1.6876543209876542
36,-2.6448456790123456,-1.6876543209876542,-2.142685185185185,-2.933333333333333,-1.2833333333333334,-2.3,18.0,18,2,0.1111111111111111,0.8287671232876712,0.1712328767123287,0.1518987341772152,0.0581395348837209,36,-2.6448456790123456,-1.6876543209876542
37,-2.6847839506172835,-1.6876543209876542,-2.8794444444444443,-2.5050000000000003,-1.9666666666666663,-1.2999999999999998,18.0,18,1,0.0555555555555555,0.8287671232876712,0.1712328767123287,0.0970873786407767,0.054054054054054,37,-2.6847839506172835,-1.6876543209876542
38,-2.6847839506172835,-1.6876543209876542,-2.521851851851851,-2.37,-1.4444444444444444,-1.0,18.0,18,0,0.0,0.8287671232876712,0.1712328767123287,0.0970873786407767,0.054054054054054,38,-2.6847839506172835,-1.6876543209876542
39,-2.6847839506172835,-1.6876543209876542,-2.6530555555555555,-3.533333333333333,-1.5277777777777777,-1.65,18.0,18,4,0.2222222222222222,0.8287671232876712,0.1712328767123287,0.0970873786407767,0.054054054054054,39,-2.6847839506172835,-1.6876543209876542
40,-2.806666666666666,-1.8666666666666667,-2.806666666666666,-2.625,-1.8666666666666667,-1.5,18.0,18,1,0.0555555555555555,0.8287671232876712,0.1712328767123287,0.0970873786407767,0.0333333333333333,40,-2.806666666666666,-1.8666666666666667
41,-2.97787037037037,-2.0722222222222224,-2.97787037037037,-3.6833333333333336,-2.0722222222222224,-3.45,18.0,18,0,0.0,0.8287671232876712,0.1712328767123287,0.0970873786407767,0.0333333333333333,41,-2.97787037037037,-2.0722222222222224
