slice,combo_kind,combo_size,combo,n,mean_surplus,median_surplus,bust_or_major_underperform_rate,underperform_rate,positive_surplus_rate,big_overperform_rate,mean_surplus_delta_vs_baseline,bust_rate_delta_vs_baseline,big_overperform_rate_delta_vs_baseline,example_players
xRAPM historical mature,positive,2,creation_handle + production_stats,198,0.11175043457787442,0.0903200624512099,0.3333333333333333,0.48484848484848486,0.5151515151515151,0.35858585858585856,0.024242655360198123,-0.008051529790660261,0.034914361001317507,Stephen Curry | Immanuel Quickley | Mitchell Robinson | Joel Embiid | Malcolm Brogdon
xRAPM historical mature,positive,2,creation_handle + intel_consensus,15,-0.07202824714115034,-0.5412037037037036,0.4666666666666667,0.5333333333333333,0.4666666666666667,0.3333333333333333,-0.15953602635882663,0.1252818035426731,0.009661835748792258,Kyle Anderson | CJ McCollum | Rodney Hood | Gary Harris | Jon Brockman
xRAPM historical mature,positive,2,finishing_touch + athleticism_tools,309,-0.04900428042442082,-0.1558245614035089,0.34951456310679613,0.5533980582524272,0.44660194174757284,0.3042071197411003,-0.13651205964209712,0.008129699982802552,-0.01946437784344074,Kawhi Leonard | Franz Wagner | Rudy Gobert | Mitchell Robinson | Desmond Bane
xRAPM historical mature,positive,2,finishing_touch + upside_tools,159,-0.10381563186953091,-0.1558245614035089,0.3333333333333333,0.5534591194968553,0.44654088050314467,0.29559748427672955,-0.1913234110872072,-0.008051529790660261,-0.028074013307811507,Rudy Gobert | Joel Embiid | Nikola Mirotic | Dillon Brooks | Chase Budinger
xRAPM historical mature,positive,2,finishing_touch + defense,264,0.017657637529700627,-0.07849867724867704,0.3181818181818182,0.5151515151515151,0.48484848484848486,0.32575757575757575,-0.06985014168797568,-0.0232030449421754,0.002086078173034689,Kawhi Leonard | Franz Wagner | Rudy Gobert | Mitchell Robinson | Desmond Bane
xRAPM historical mature,positive,2,finishing_touch + motor_competitiveness,251,-0.055623420848476046,-0.1495121951219511,0.3386454183266932,0.5298804780876494,0.4701195219123506,0.30677290836653387,-0.14313120006615235,-0.002739444797300372,-0.016898589218007187,Kawhi Leonard | Franz Wagner | Rudy Gobert | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,finishing_touch + size_frame,235,-0.07215183051063383,-0.1558245614035089,0.3446808510638298,0.5404255319148936,0.4595744680851064,0.2978723404255319,-0.15965960972831011,0.003295987939836209,-0.025799157159009156,Franz Wagner | Rudy Gobert | Mitchell Robinson | Desmond Bane | Joel Embiid
xRAPM historical mature,positive,2,finishing_touch + production_stats,248,-0.12429027647601713,-0.16533031348863975,0.3588709677419355,0.5524193548387096,0.4475806451612903,0.29435483870967744,-0.21179805569369342,0.017486104617941922,-0.02931665887486362,Franz Wagner | Mitchell Robinson | Desmond Bane | Joel Embiid | Jayson Tatum
xRAPM historical mature,positive,2,finishing_touch + intel_consensus,12,-0.5099764537207246,-0.892083333333333,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.25,-0.5974842329384009,0.2419484702093398,-0.07367149758454106,Jusuf Nurkić | Goga Bitadze | Jon Brockman | Jerian Grant | Corey Kispert
xRAPM historical mature,positive,2,athleticism_tools + upside_tools,262,-0.069691087132484,-0.1742191080557024,0.3473282442748092,0.549618320610687,0.45038167938931295,0.3053435114503817,-0.15719886635016028,0.005943381150815608,-0.01832798613415937,Rudy Gobert | Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Dillon Brooks
xRAPM historical mature,positive,2,athleticism_tools + defense,481,0.15386832078046336,-0.0012037037037035,0.3076923076923077,0.501039501039501,0.498960498960499,0.3575883575883576,0.06636054156278706,-0.03369255543168587,0.03391686000381655,Kawhi Leonard | Herbert Jones | Stephen Curry | Franz Wagner | Immanuel Quickley
xRAPM historical mature,positive,2,athleticism_tools + motor_competitiveness,419,0.05283126340154236,-0.1495121951219511,0.33890214797136037,0.5250596658711217,0.47494033412887826,0.3221957040572792,-0.03467651581613394,-0.002482715152633208,-0.0014757935272618483,Draymond Green | Kawhi Leonard | Stephen Curry | Franz Wagner | Immanuel Quickley
xRAPM historical mature,positive,2,athleticism_tools + size_frame,409,0.011387214282336895,-0.1558245614035089,0.3374083129584352,0.5281173594132029,0.4718826405867971,0.3056234718826406,-0.0761205649353394,-0.003976550165558368,-0.01804802570190045,Stephen Curry | Franz Wagner | Rudy Gobert | Paul George | Mitchell Robinson
xRAPM historical mature,positive,2,athleticism_tools + production_stats,446,0.11990470028140221,-0.0630074636811942,0.33183856502242154,0.5134529147982063,0.48654708520179374,0.33856502242152464,0.03239692106372591,-0.009546298101572037,0.014893524836983585,Draymond Green | Herbert Jones | Stephen Curry | Franz Wagner | Immanuel Quickley
xRAPM historical mature,positive,2,athleticism_tools + risk_uncertainty,22,0.26891326871213844,-0.016587301587301498,0.22727272727272727,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.18140548949446214,-0.11411213585126631,0.03996486605182259,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,athleticism_tools + intel_consensus,32,0.05565748136264928,-0.2667402245451025,0.34375,0.59375,0.40625,0.3125,-0.03185029785502702,0.002365136876006424,-0.011171497584541057,Donovan Mitchell | Kyle Anderson | Jusuf Nurkić | Donte DiVincenzo | CJ McCollum
xRAPM historical mature,positive,2,athleticism_tools + other,16,-0.6174092919955673,-0.6224941927990709,0.5,0.625,0.375,0.0625,-0.7049170712132435,0.15861513687600642,-0.26117149758454106,Kyle Singler | Elfrid Payton | Will Barton | Mike Scott | Reggie Bullock Jr.
xRAPM historical mature,positive,2,upside_tools + defense,222,0.02712381947510132,-0.0630074636811942,0.3108108108108108,0.5180180180180181,0.481981981981982,0.33783783783783783,-0.06038395974257498,-0.030574052313182776,0.014166340253296772,Rudy Gobert | Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Aaron Wiggins
xRAPM historical mature,positive,2,upside_tools + motor_competitiveness,192,-0.1536768979830231,-0.18292210701484912,0.3489583333333333,0.5520833333333334,0.4479166666666667,0.2916666666666667,-0.2411846772006994,0.007573470209339739,-0.03200483091787437,Rudy Gobert | Joel Embiid | Malcolm Brogdon | Aaron Wiggins | Chase Budinger
xRAPM historical mature,positive,2,upside_tools + size_frame,196,-0.1339582431677003,-0.18292210701484912,0.35714285714285715,0.5459183673469388,0.45408163265306123,0.29591836734693877,-0.2214660223853766,0.015757994018863575,-0.027753130237602286,Rudy Gobert | Joel Embiid | Malcolm Brogdon | Nikola Mirotic | Khris Middleton
xRAPM historical mature,positive,2,upside_tools + production_stats,214,-0.019889475107926106,-0.09092443249701296,0.32710280373831774,0.5233644859813084,0.4766355140186916,0.3177570093457944,-0.1073972543256024,-0.014282059385675838,-0.005914488238746685,Joel Embiid | Malcolm Brogdon | Dillon Brooks | Aaron Wiggins | Chase Budinger
xRAPM historical mature,positive,2,upside_tools + risk_uncertainty,16,0.5401321803605604,0.13621031746031745,0.125,0.5,0.5,0.375,0.45262440114288416,-0.21638486312399358,0.05132850241545894,Bruce Brown | OG Anunoby | Montrezl Harrell | Ja Morant | Cody Zeller
xRAPM historical mature,positive,2,upside_tools + intel_consensus,12,-0.3266068583944927,-0.3975859788359788,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.16666666666666666,-0.41411463761216905,-0.008051529790660261,-0.1570048309178744,Donte DiVincenzo | Gary Harris | Dario Saric | Alec Peters | Jaren Jackson Jr.
xRAPM historical mature,positive,2,defense + motor_competitiveness,352,0.09115035878890546,0.020597840228987647,0.3210227272727273,0.4971590909090909,0.5028409090909091,0.34375,0.003642579571229154,-0.020362135851266283,0.020078502415458943,Kawhi Leonard | Stephen Curry | Franz Wagner | Immanuel Quickley | Rudy Gobert
xRAPM historical mature,positive,2,defense + size_frame,338,0.07551455381761431,-0.015085978835978649,0.3136094674556213,0.5029585798816568,0.4970414201183432,0.3343195266272189,-0.011993225400061994,-0.027775395668372282,0.010648029042677865,Stephen Curry | Franz Wagner | Rudy Gobert | Paul George | Mitchell Robinson
xRAPM historical mature,positive,2,defense + production_stats,367,0.16226301025359732,0.0410317460317459,0.3079019073569482,0.49591280653950953,0.5040871934604905,0.36239782016348776,0.07475523103592102,-0.03348295576704535,0.038726322578946704,Herbert Jones | Stephen Curry | Franz Wagner | Immanuel Quickley | Paul George
xRAPM historical mature,positive,2,defense + risk_uncertainty,19,0.427064992397247,0.2766269841269841,0.21052631578947367,0.47368421052631576,0.5263157894736842,0.42105263157894735,0.33955721317957066,-0.1308585473345199,0.09738113399440629,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,defense + intel_consensus,25,0.05630203299120708,-0.2539682539682539,0.32,0.6,0.4,0.36,-0.031205746226469225,-0.02138486312399357,0.03632850241545893,Donovan Mitchell | Kyle Anderson | Donte DiVincenzo | CJ McCollum | Cameron Johnson
xRAPM historical mature,positive,2,defense + other,12,-0.6701884309213675,-0.6224941927990709,0.5,0.6666666666666666,0.3333333333333333,0.0,-0.7576962101390438,0.15861513687600642,-0.32367149758454106,Elfrid Payton | Will Barton | Mike Scott | Skal Labissiere | Rui Hachimura
xRAPM historical mature,positive,2,motor_competitiveness + size_frame,303,-0.022475350496613686,-0.1495121951219511,0.33993399339933994,0.5247524752475248,0.4752475247524752,0.297029702970297,-0.10998312971428999,-0.0014508697246536362,-0.02664179461424404,Stephen Curry | Franz Wagner | Rudy Gobert | Mitchell Robinson | Joel Embiid
xRAPM historical mature,positive,2,motor_competitiveness + production_stats,341,0.028259072161184513,-0.1198360655737704,0.34017595307917886,0.5278592375366569,0.47214076246334313,0.3196480938416422,-0.05924870705649179,-0.001208910044814715,-0.0040234037428988345,Draymond Green | Stephen Curry | Franz Wagner | Immanuel Quickley | Mitchell Robinson
xRAPM historical mature,positive,2,motor_competitiveness + risk_uncertainty,19,0.3670942321633289,-0.0042063492063492,0.21052631578947367,0.5263157894736842,0.47368421052631576,0.3684210526315789,0.27958645294565265,-0.1308585473345199,0.04474955504703787,Bruce Brown | Klay Thompson | Montrezl Harrell | Cory Jefferson | Ja Morant
xRAPM historical mature,positive,2,motor_competitiveness + intel_consensus,24,-0.227089299114465,-0.4026340821696016,0.375,0.7083333333333334,0.2916666666666667,0.25,-0.3145970783321413,0.033615136876006424,-0.07367149758454106,Donovan Mitchell | Jusuf Nurkić | CJ McCollum | Gary Harris | Goga Bitadze
xRAPM historical mature,positive,2,motor_competitiveness + other,15,-0.6075381654301923,-0.4795121951219512,0.4666666666666667,0.6,0.4,0.06666666666666667,-0.6950459446478686,0.1252818035426731,-0.2570048309178744,Kyle Singler | Elfrid Payton | Will Barton | Mike Scott | Reggie Bullock Jr.
xRAPM historical mature,positive,2,size_frame + production_stats,323,0.03983882218587089,-0.0661788617886176,0.32507739938080493,0.5139318885448917,0.48606811145510836,0.3126934984520124,-0.04766895703180541,-0.016307463743188644,-0.01097799913252867,Stephen Curry | Franz Wagner | Paul George | Mitchell Robinson | Desmond Bane
xRAPM historical mature,positive,2,size_frame + risk_uncertainty,20,0.31507509822885493,0.12382936507936515,0.25,0.5,0.5,0.4,0.22756731901117863,-0.09138486312399358,0.07632850241545897,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,size_frame + intel_consensus,28,-0.08173980740423532,-0.32967413034786086,0.35714285714285715,0.6428571428571429,0.35714285714285715,0.2857142857142857,-0.16924758662191164,0.015757994018863575,-0.03795721187025536,Donovan Mitchell | Kyle Anderson | Jusuf Nurkić | Cameron Johnson | Rodney Hood
xRAPM historical mature,positive,2,size_frame + other,15,-0.5259349908270179,-0.4795121951219512,0.4666666666666667,0.6,0.4,0.06666666666666667,-0.6134427700446942,0.1252818035426731,-0.2570048309178744,Kyle Singler | Elfrid Payton | Will Barton | Mike Scott | Reggie Bullock Jr.
xRAPM historical mature,positive,2,production_stats + risk_uncertainty,21,0.31409180844003887,-0.0042063492063492,0.23809523809523808,0.5238095238095238,0.47619047619047616,0.38095238095238093,0.22658402922236257,-0.1032896250287555,0.057280883367839874,Bruce Brown | Klay Thompson | OG Anunoby | Montrezl Harrell | Cory Jefferson
xRAPM historical mature,positive,2,production_stats + intel_consensus,28,0.043758373050742386,-0.2667402245451025,0.32142857142857145,0.6071428571428571,0.39285714285714285,0.32142857142857145,-0.043749406166933916,-0.019956291695422124,-0.0022429261559696045,Donovan Mitchell | Kyle Anderson | Donte DiVincenzo | CJ McCollum | Cameron Johnson
xRAPM historical mature,positive,2,production_stats + other,15,-0.5259349908270179,-0.4795121951219512,0.4666666666666667,0.6,0.4,0.06666666666666667,-0.6134427700446942,0.1252818035426731,-0.2570048309178744,Kyle Singler | Elfrid Payton | Will Barton | Mike Scott | Reggie Bullock Jr.
xRAPM historical top15,positive,2,feel_iq_passing + shooting,143,0.17427963546874053,0.1745238095238093,0.2937062937062937,0.45454545454545453,0.5454545454545454,0.3706293706293706,0.05952752766173851,-0.0035910035910036164,0.019278019278019254,Kawhi Leonard | Stephen Curry | Franz Wagner | Paul George | Joel Embiid
xRAPM historical top15,positive,2,feel_iq_passing + creation_handle,97,0.1363414774257069,0.2745238095238095,0.3402061855670103,0.422680412371134,0.5773195876288659,0.3917525773195876,0.021589369618704876,0.04290888826971301,0.040401225968236254,Kawhi Leonard | Stephen Curry | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top15,positive,2,feel_iq_passing + finishing_touch,96,0.03526666765982642,0.1169973544973548,0.28125,0.4583333333333333,0.5416666666666666,0.3333333333333333,-0.07948544014717561,-0.016047297297297314,-0.018018018018018056,Kawhi Leonard | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top15,positive,2,feel_iq_passing + athleticism_tools,149,0.19144854235865333,0.1745238095238093,0.2751677852348993,0.44966442953020136,0.5503355704697986,0.3691275167785235,0.0766964345516513,-0.022129512062397994,0.01777616542717214,Kawhi Leonard | Stephen Curry | Franz Wagner | Paul George | Joel Embiid
xRAPM historical top15,positive,2,feel_iq_passing + upside_tools,80,-0.12903516719059083,0.022476147107294703,0.3,0.4875,0.5125,0.3,-0.24378727499759284,0.002702702702702675,-0.05135135135135138,Joel Embiid | Tyrese Haliburton | Michael Porter Jr. | Jamal Murray | Karl-Anthony Towns
xRAPM historical top15,positive,2,feel_iq_passing + defense,131,0.23170377074822787,0.1810317460317458,0.25190839694656486,0.4351145038167939,0.5648854961832062,0.3816793893129771,0.11695166294122585,-0.04538890035073245,0.030328037961625753,Kawhi Leonard | Stephen Curry | Franz Wagner | Paul George | Joel Embiid
xRAPM historical top15,positive,2,feel_iq_passing + motor_competitiveness,125,0.18097052937418656,0.1810317460317458,0.256,0.44,0.56,0.376,0.06621842156718453,-0.04129729729729731,0.02464864864864863,Kawhi Leonard | Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum
xRAPM historical top15,positive,2,feel_iq_passing + size_frame,118,0.16421042374791606,0.20011904761904759,0.288135593220339,0.4322033898305085,0.5677966101694916,0.3728813559322034,0.04945831594091403,-0.009161704076958321,0.021530004580852025,Stephen Curry | Franz Wagner | Paul George | Joel Embiid | Jayson Tatum
xRAPM historical top15,positive,2,feel_iq_passing + production_stats,132,0.17876875701513328,0.17777777777777753,0.2803030303030303,0.44696969696969696,0.553030303030303,0.3787878787878788,0.06401664920813126,-0.016994266994267038,0.027436527436527414,Stephen Curry | Franz Wagner | Paul George | Joel Embiid | Jayson Tatum
xRAPM historical top15,positive,2,feel_iq_passing + intel_consensus,14,-0.12881162080555822,-0.3169021597710123,0.35714285714285715,0.7142857142857143,0.2857142857142857,0.2857142857142857,-0.24356372861256026,0.05984555984555984,-0.06563706563706567,Kyle Anderson | CJ McCollum | Rodney Hood | Gary Harris | Jaren Jackson Jr.
xRAPM historical top15,positive,2,shooting + creation_handle,105,0.03401335344892274,0.2366269841269843,0.38095238095238093,0.44761904761904764,0.5523809523809524,0.37142857142857144,-0.08073875435807928,0.08365508365508362,0.02007722007722007,Kawhi Leonard | Stephen Curry | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top15,positive,2,shooting + finishing_touch,109,-0.09486705634047964,0.0001639344262294,0.3302752293577982,0.4954128440366973,0.5045871559633027,0.30275229357798167,-0.20961916414748166,0.03297793206050087,-0.0485990577733697,Kawhi Leonard | Franz Wagner | Joel Embiid | Jayson Tatum | Ricky Rubio
xRAPM historical top15,positive,2,shooting + athleticism_tools,173,0.12977996151370308,0.1201639344262295,0.30057803468208094,0.4624277456647399,0.5375722543352601,0.3583815028901734,0.015027853706701053,0.0032807373847836274,0.007030151538822027,Kawhi Leonard | Stephen Curry | Franz Wagner | Paul George | Joel Embiid
xRAPM historical top15,positive,2,shooting + upside_tools,91,-0.3142088137933439,-0.0661788617886176,0.3626373626373626,0.5274725274725275,0.4725274725274725,0.27472527472527475,-0.42896092160034593,0.06534006534006531,-0.07662607662607662,Joel Embiid | Tyrese Haliburton | Michael Porter Jr. | Jamal Murray | Karl-Anthony Towns
xRAPM historical top15,positive,2,shooting + defense,148,0.157666351229813,0.14366662329777075,0.27702702702702703,0.4527027027027027,0.5472972972972973,0.36486486486486486,0.042914243422810985,-0.020270270270270285,0.013513513513513487,Kawhi Leonard | Stephen Curry | Franz Wagner | Paul George | Joel Embiid
xRAPM historical top15,positive,2,shooting + motor_competitiveness,144,0.08309481190598242,0.14366662329777075,0.2916666666666667,0.4652777777777778,0.5347222222222222,0.3611111111111111,-0.03165729590101961,-0.005630630630630629,0.009759759759759734,Kawhi Leonard | Stephen Curry | Franz Wagner | Joel Embiid | Jayson Tatum
xRAPM historical top15,positive,2,shooting + size_frame,137,0.10399813438082081,0.1745238095238093,0.30656934306569344,0.45255474452554745,0.5474452554744526,0.35766423357664234,-0.010753973426181215,0.009272045768396131,0.006312882225290972,Stephen Curry | Franz Wagner | Paul George | Joel Embiid | Jayson Tatum
